year,state_short,state_long,indicator,value
1994,NC,North Carolina,sped ba,227
1994,NC,North Carolina,stem ba,481
1994,NC,North Carolina,elem ma,252
1994,NC,North Carolina,other ma,1050
1994,NC,North Carolina,sped ma,199
1994,NC,North Carolina,stem ma,110
1994,NC,North Carolina,elem phd,0
1994,NC,North Carolina,other phd,123
1994,NC,North Carolina,sped phd,4
1994,NC,North Carolina,stem phd,8
1994,NC,North Carolina,agg total,214174
1994,NC,North Carolina,ba total,3212
1994,NC,North Carolina,elem total,1663
1994,NC,North Carolina,ma total,1611
1994,NC,North Carolina,other total,2266
1994,NC,North Carolina,phd total,135
1994,NC,North Carolina,sped total,430
1994,NC,North Carolina,state total,4958
1994,NC,North Carolina,stem total,599
1994,ND,North Dakota,elem ba,333
1994,ND,North Dakota,other ba,249
1994,ND,North Dakota,sped ba,59
1994,ND,North Dakota,stem ba,45
1994,ND,North Dakota,elem ma,18
1994,ND,North Dakota,other ma,160
1994,ND,North Dakota,sped ma,39
1994,ND,North Dakota,stem ma,5
1994,ND,North Dakota,elem phd,0
1994,ND,North Dakota,other phd,19
1994,ND,North Dakota,sped phd,0
1994,ND,North Dakota,stem phd,0
1994,ND,North Dakota,agg total,214174
1994,ND,North Dakota,ba total,686
1994,ND,North Dakota,elem total,351
1994,ND,North Dakota,ma total,222
1994,ND,North Dakota,other total,428
1994,ND,North Dakota,phd total,19
1994,ND,North Dakota,sped total,98
1994,ND,North Dakota,state total,927
1994,ND,North Dakota,stem total,50
1994,NE,Nebraska,elem ba,833
1994,NE,Nebraska,other ba,480
1994,NE,Nebraska,sped ba,76
1994,NE,Nebraska,stem ba,76
1994,NE,Nebraska,elem ma,70
1994,NE,Nebraska,other ma,644
1994,NE,Nebraska,sped ma,99
1994,NE,Nebraska,stem ma,18
1994,NE,Nebraska,elem phd,0
1994,NE,Nebraska,other phd,55
1994,NE,Nebraska,sped phd,0
1994,NE,Nebraska,stem phd,0
1994,NE,Nebraska,agg total,214174
1994,NE,Nebraska,ba total,1465
1994,NE,Nebraska,elem total,903
1994,NE,Nebraska,ma total,831
1994,NE,Nebraska,other total,1179
1994,NE,Nebraska,phd total,55
1994,NE,Nebraska,sped total,175
1994,NE,Nebraska,state total,2351
1994,NE,Nebraska,stem total,94
1994,NH,New Hampshire,elem ba,278
1994,NH,New Hampshire,other ba,258
1994,NH,New Hampshire,sped ba,62
1994,NH,New Hampshire,stem ba,25
1994,NH,New Hampshire,elem ma,135
1994,NH,New Hampshire,other ma,428
1994,NH,New Hampshire,sped ma,37
1994,NH,New Hampshire,stem ma,0
1994,NH,New Hampshire,elem phd,0
1994,NH,New Hampshire,other phd,6
1994,NH,New Hampshire,sped phd,0
1994,NH,New Hampshire,stem phd,0
1994,NH,New Hampshire,agg total,214174
1994,NH,New Hampshire,ba total,623
1994,NH,New Hampshire,elem total,413
1994,NH,New Hampshire,ma total,600
1994,NH,New Hampshire,other total,692
1994,NH,New Hampshire,phd total,6
1994,NH,New Hampshire,sped total,99
1994,NH,New Hampshire,state total,1229
1994,NH,New Hampshire,stem total,25
1994,NJ,New Jersey,elem ba,978
1994,NJ,New Jersey,other ba,505
1994,NJ,New Jersey,sped ba,343
1994,NJ,New Jersey,stem ba,140
1994,NJ,New Jersey,elem ma,321
1994,NJ,New Jersey,other ma,1546
1994,NJ,New Jersey,sped ma,205
1994,NJ,New Jersey,stem ma,59
1994,NJ,New Jersey,elem phd,1
1994,NJ,New Jersey,other phd,51
1994,NJ,New Jersey,sped phd,2
1994,NJ,New Jersey,stem phd,6
1994,NJ,New Jersey,agg total,214174
1994,NJ,New Jersey,ba total,1966
1994,NJ,New Jersey,elem total,1300
1994,NJ,New Jersey,ma total,2131
1994,NJ,New Jersey,other total,2102
1994,NJ,New Jersey,phd total,60
1994,NJ,New Jersey,sped total,550
1994,NJ,New Jersey,state total,4157
1994,NJ,New Jersey,stem total,205
1994,NM,New Mexico,elem ba,527
1994,NM,New Mexico,other ba,325
1994,NM,New Mexico,sped ba,160
1994,NM,New Mexico,stem ba,10
1994,NM,New Mexico,elem ma,129
1994,NM,New Mexico,other ma,516
1994,NM,New Mexico,sped ma,117
1994,NM,New Mexico,stem ma,56
1994,NM,New Mexico,elem phd,0
1994,NM,New Mexico,other phd,63
1994,NM,New Mexico,sped phd,6
1994,NM,New Mexico,stem phd,4
1994,NM,New Mexico,agg total,214174
1994,NM,New Mexico,ba total,1022
1994,NM,New Mexico,elem total,656
1994,NM,New Mexico,ma total,818
1994,NM,New Mexico,other total,904
1994,NM,New Mexico,phd total,73
1994,NM,New Mexico,sped total,283
1994,NM,New Mexico,state total,1913
1994,NM,New Mexico,stem total,70
1994,NV,Nevada,elem ba,178
1994,NV,Nevada,other ba,168
1994,NV,Nevada,sped ba,64
1994,NV,Nevada,stem ba,7
1994,NV,Nevada,elem ma,48
1994,NV,Nevada,other ma,244
1994,NV,Nevada,sped ma,32
1994,NV,Nevada,stem ma,0
1994,NV,Nevada,elem phd,0
1994,NV,Nevada,other phd,18
1994,NV,Nevada,sped phd,0
1994,NV,Nevada,stem phd,0
1994,NV,Nevada,agg total,214174
1994,NV,Nevada,ba total,417
1994,NV,Nevada,elem total,226
1994,NV,Nevada,ma total,324
1994,NV,Nevada,other total,430
1994,NV,Nevada,phd total,18
1994,NV,Nevada,sped total,96
1994,NV,Nevada,state total,759
1994,NV,Nevada,stem total,7
1994,NY,New York,elem ba,2621
1994,NY,New York,other ba,2456
1994,NY,New York,sped ba,908
1994,NY,New York,stem ba,484
1994,NY,New York,elem ma,3544
1994,NY,New York,other ma,5703
1994,NY,New York,sped ma,2208
1994,NY,New York,stem ma,683
1994,NY,New York,elem phd,12
1994,NY,New York,other phd,327
1994,NY,New York,sped phd,19
1994,NY,New York,stem phd,29
1994,NY,New York,agg total,214174
1994,NY,New York,ba total,6469
1994,NY,New York,elem total,6177
1994,NY,New York,ma total,12138
1994,NY,New York,other total,8486
1994,NY,New York,phd total,387
1994,NY,New York,sped total,3135
1994,NY,New York,state total,18994
1994,NY,New York,stem total,1196
1994,OH,Ohio,elem ba,3413
1994,OH,Ohio,other ba,1882
1994,OH,Ohio,sped ba,462
1994,OH,Ohio,stem ba,401
1994,OH,Ohio,elem ma,321
1994,OH,Ohio,other ma,3465
1994,OH,Ohio,sped ma,283
1994,OH,Ohio,stem ma,118
1994,OH,Ohio,elem phd,7
1994,OH,Ohio,other phd,327
1994,OH,Ohio,sped phd,10
1994,OH,Ohio,stem phd,4
1994,OH,Ohio,agg total,214174
1994,OH,Ohio,ba total,6158
1994,OH,Ohio,elem total,3741
1994,OH,Ohio,ma total,4187
1994,OH,Ohio,other total,5674
1994,OH,Ohio,phd total,348
1994,OH,Ohio,sped total,755
1994,OH,Ohio,state total,10693
1994,OH,Ohio,stem total,523
1994,OK,Oklahoma,elem ba,1556
1994,OK,Oklahoma,other ba,965
1994,OK,Oklahoma,sped ba,215
1994,OK,Oklahoma,stem ba,125
1994,OK,Oklahoma,elem ma,199
1994,OK,Oklahoma,other ma,1009
1994,OK,Oklahoma,sped ma,129
1994,OK,Oklahoma,stem ma,44
1994,OK,Oklahoma,elem phd,2
1994,OK,Oklahoma,other phd,100
1994,OK,Oklahoma,sped phd,2
1994,OK,Oklahoma,stem phd,1
1994,OK,Oklahoma,agg total,214174
1994,OK,Oklahoma,ba total,2861
1994,OK,Oklahoma,elem total,1757
1994,OK,Oklahoma,ma total,1381
1994,OK,Oklahoma,other total,2074
1994,OK,Oklahoma,phd total,105
1994,OK,Oklahoma,sped total,346
1994,OK,Oklahoma,state total,4347
1994,OK,Oklahoma,stem total,170
1994,OR,Oregon,elem ba,306
1994,OR,Oregon,other ba,372
1994,OR,Oregon,sped ba,0
1994,OR,Oregon,stem ba,6
1994,OR,Oregon,elem ma,174
1994,OR,Oregon,other ma,801
1994,OR,Oregon,sped ma,203
1994,OR,Oregon,stem ma,74
1994,OR,Oregon,elem phd,0
1994,OR,Oregon,other phd,121
1994,OR,Oregon,sped phd,6
1994,OR,Oregon,stem phd,0
1994,OR,Oregon,agg total,214174
1994,OR,Oregon,ba total,684
1994,OR,Oregon,elem total,480
1994,OR,Oregon,ma total,1252
1994,OR,Oregon,other total,1294
1994,OR,Oregon,phd total,127
1994,OR,Oregon,sped total,209
1994,OR,Oregon,state total,2063
1994,OR,Oregon,stem total,80
1994,PA,Pennsylvania,elem ba,4861
1994,PA,Pennsylvania,other ba,1947
1994,PA,Pennsylvania,sped ba,744
1994,PA,Pennsylvania,stem ba,188
1994,PA,Pennsylvania,elem ma,779
1994,PA,Pennsylvania,other ma,2784
1994,PA,Pennsylvania,sped ma,321
1994,PA,Pennsylvania,stem ma,218
1994,PA,Pennsylvania,elem phd,14
1994,PA,Pennsylvania,other phd,253
1994,PA,Pennsylvania,sped phd,8
1994,PA,Pennsylvania,stem phd,30
1994,PA,Pennsylvania,agg total,214174
1994,PA,Pennsylvania,ba total,7740
1994,PA,Pennsylvania,elem total,5654
1994,PA,Pennsylvania,ma total,4102
1994,PA,Pennsylvania,other total,4984
1994,PA,Pennsylvania,phd total,305
1994,PA,Pennsylvania,sped total,1073
1994,PA,Pennsylvania,state total,12147
1994,PA,Pennsylvania,stem total,436
1994,RI,Rhode Island,elem ba,197
1994,RI,Rhode Island,other ba,228
1994,RI,Rhode Island,sped ba,152
1994,RI,Rhode Island,stem ba,27
1994,RI,Rhode Island,elem ma,116
1994,RI,Rhode Island,other ma,220
1994,RI,Rhode Island,sped ma,77
1994,RI,Rhode Island,stem ma,32
1994,RI,Rhode Island,elem phd,0
1994,RI,Rhode Island,other phd,0
1994,RI,Rhode Island,sped phd,0
1994,RI,Rhode Island,stem phd,0
1994,RI,Rhode Island,agg total,214174
1994,RI,Rhode Island,ba total,604
1994,RI,Rhode Island,elem total,313
1994,RI,Rhode Island,ma total,445
1994,RI,Rhode Island,other total,448
1994,RI,Rhode Island,phd total,0
1994,RI,Rhode Island,sped total,229
1994,RI,Rhode Island,state total,1049
1994,RI,Rhode Island,stem total,59
1994,SC,South Carolina,elem ba,1312
1994,SC,South Carolina,other ba,517
1994,SC,South Carolina,sped ba,193
1994,SC,South Carolina,stem ba,85
1994,SC,South Carolina,elem ma,437
1994,SC,South Carolina,other ma,887
1994,SC,South Carolina,sped ma,143
1994,SC,South Carolina,stem ma,48
1994,SC,South Carolina,elem phd,17
1994,SC,South Carolina,other phd,112
1994,SC,South Carolina,sped phd,0
1994,SC,South Carolina,stem phd,15
1994,SC,South Carolina,agg total,214174
1994,SC,South Carolina,ba total,2107
1994,SC,South Carolina,elem total,1766
1994,SC,South Carolina,ma total,1515
1994,SC,South Carolina,other total,1516
1994,SC,South Carolina,phd total,144
1994,SC,South Carolina,sped total,336
1994,SC,South Carolina,state total,3766
1994,SC,South Carolina,stem total,148
1994,SD,South Dakota,elem ba,335
1994,SD,South Dakota,other ba,182
1994,SD,South Dakota,sped ba,58
1994,SD,South Dakota,stem ba,44
1994,SD,South Dakota,elem ma,47
1994,SD,South Dakota,other ma,225
1994,SD,South Dakota,sped ma,42
1994,SD,South Dakota,stem ma,0
1994,SD,South Dakota,elem phd,0
1994,SD,South Dakota,other phd,30
1994,SD,South Dakota,sped phd,0
1994,SD,South Dakota,stem phd,0
1994,SD,South Dakota,agg total,214174
1994,SD,South Dakota,ba total,619
1994,SD,South Dakota,elem total,382
1994,SD,South Dakota,ma total,314
1994,SD,South Dakota,other total,437
1994,SD,South Dakota,phd total,30
1994,SD,South Dakota,sped total,100
1994,SD,South Dakota,state total,963
1994,SD,South Dakota,stem total,44
1994,TN,Tennessee,elem ba,1071
1994,TN,Tennessee,other ba,614
1994,TN,Tennessee,sped ba,158
1994,TN,Tennessee,stem ba,118
1994,TN,Tennessee,elem ma,134
1994,TN,Tennessee,other ma,1745
1994,TN,Tennessee,sped ma,182
1994,TN,Tennessee,stem ma,102
1994,TN,Tennessee,elem phd,4
1994,TN,Tennessee,other phd,159
1994,TN,Tennessee,sped phd,3
1994,TN,Tennessee,stem phd,11
1994,TN,Tennessee,agg total,214174
1994,TN,Tennessee,ba total,1961
1994,TN,Tennessee,elem total,1209
1994,TN,Tennessee,ma total,2163
1994,TN,Tennessee,other total,2518
1994,TN,Tennessee,phd total,177
1994,TN,Tennessee,sped total,343
1994,TN,Tennessee,state total,4301
1994,TN,Tennessee,stem total,231
1994,TX,Texas,elem ba,1025
1994,TX,Texas,other ba,1381
1994,TX,Texas,sped ba,84
1994,TX,Texas,stem ba,73
1994,TX,Texas,elem ma,448
1994,TX,Texas,other ma,3516
1994,TX,Texas,sped ma,370
1994,TX,Texas,stem ma,221
1994,TX,Texas,elem phd,11
1994,TX,Texas,other phd,349
1994,TX,Texas,sped phd,10
1994,TX,Texas,stem phd,41
1994,TX,Texas,agg total,214174
1994,TX,Texas,ba total,2563
1994,TX,Texas,elem total,1484
1994,TX,Texas,ma total,4555
1994,TX,Texas,other total,5246
1994,TX,Texas,phd total,411
1994,TX,Texas,sped total,464
1994,TX,Texas,state total,7529
1994,TX,Texas,stem total,335
1994,UT,Utah,elem ba,1000
1994,UT,Utah,other ba,660
1994,UT,Utah,sped ba,158
1994,UT,Utah,stem ba,68
1994,UT,Utah,elem ma,87
1994,UT,Utah,other ma,288
1994,UT,Utah,sped ma,82
1994,UT,Utah,stem ma,39
1994,UT,Utah,elem phd,0
1994,UT,Utah,other phd,38
1994,UT,Utah,sped phd,2
1994,UT,Utah,stem phd,4
1994,UT,Utah,agg total,214174
1994,UT,Utah,ba total,1886
1994,UT,Utah,elem total,1087
1994,UT,Utah,ma total,496
1994,UT,Utah,other total,986
1994,UT,Utah,phd total,44
1994,UT,Utah,sped total,242
1994,UT,Utah,state total,2426
1994,UT,Utah,stem total,111
1994,VA,Virginia,elem ba,107
1994,VA,Virginia,other ba,788
1994,VA,Virginia,sped ba,7
1994,VA,Virginia,stem ba,35
1994,VA,Virginia,elem ma,483
1994,VA,Virginia,other ma,1893
1994,VA,Virginia,sped ma,290
1994,VA,Virginia,stem ma,77
1994,VA,Virginia,elem phd,0
1994,VA,Virginia,other phd,159
1994,VA,Virginia,sped phd,1
1994,VA,Virginia,stem phd,16
1994,VA,Virginia,agg total,214174
1994,VA,Virginia,ba total,937
1994,VA,Virginia,elem total,590
1994,VA,Virginia,ma total,2743
1994,VA,Virginia,other total,2840
1994,VA,Virginia,phd total,176
1994,VA,Virginia,sped total,298
1994,VA,Virginia,state total,3856
1994,VA,Virginia,stem total,128
1994,VT,Vermont,elem ba,196
1994,VT,Vermont,other ba,148
1994,VT,Vermont,sped ba,64
1994,VT,Vermont,stem ba,19
1994,VT,Vermont,elem ma,11
1994,VT,Vermont,other ma,395
1994,VT,Vermont,sped ma,36
1994,VT,Vermont,stem ma,3
1994,VT,Vermont,elem phd,0
1994,VT,Vermont,other phd,12
1994,VT,Vermont,sped phd,0
1994,VT,Vermont,stem phd,0
1994,VT,Vermont,agg total,214174
1994,VT,Vermont,ba total,427
1994,VT,Vermont,elem total,207
1994,VT,Vermont,ma total,445
1994,VT,Vermont,other total,555
1994,VT,Vermont,phd total,12
1994,VT,Vermont,sped total,100
1994,VT,Vermont,state total,884
1994,VT,Vermont,stem total,22
1994,WA,Washington,elem ba,356
1994,WA,Washington,other ba,888
1994,WA,Washington,sped ba,134
1994,WA,Washington,stem ba,141
1994,WA,Washington,elem ma,124
1994,WA,Washington,other ma,2611
1994,WA,Washington,sped ma,56
1994,WA,Washington,stem ma,41
1994,WA,Washington,elem phd,0
1994,WA,Washington,other phd,92
1994,WA,Washington,sped phd,0
1994,WA,Washington,stem phd,0
1994,WA,Washington,agg total,214174
1994,WA,Washington,ba total,1519
1994,WA,Washington,elem total,480
1994,WA,Washington,ma total,2832
1994,WA,Washington,other total,3591
1994,WA,Washington,phd total,92
1994,WA,Washington,sped total,190
1994,WA,Washington,state total,4443
1994,WA,Washington,stem total,182
1994,WI,Wisconsin,elem ba,1389
1994,WI,Wisconsin,other ba,1013
1994,WI,Wisconsin,sped ba,344
1994,WI,Wisconsin,stem ba,89
1994,WI,Wisconsin,elem ma,107
1994,WI,Wisconsin,other ma,1534
1994,WI,Wisconsin,sped ma,145
1994,WI,Wisconsin,stem ma,84
1994,WI,Wisconsin,elem phd,0
1994,WI,Wisconsin,other phd,105
1994,WI,Wisconsin,sped phd,4
1994,WI,Wisconsin,stem phd,0
1994,WI,Wisconsin,agg total,214174
1994,WI,Wisconsin,ba total,2835
1994,WI,Wisconsin,elem total,1496
1994,WI,Wisconsin,ma total,1870
1994,WI,Wisconsin,other total,2652
1994,WI,Wisconsin,phd total,109
1994,WI,Wisconsin,sped total,493
1994,WI,Wisconsin,state total,4814
1994,WI,Wisconsin,stem total,173
1994,WV,West Virginia,elem ba,620
1994,WV,West Virginia,other ba,691
1994,WV,West Virginia,sped ba,15
1994,WV,West Virginia,stem ba,2
1994,WV,West Virginia,elem ma,54
1994,WV,West Virginia,other ma,496
1994,WV,West Virginia,sped ma,224
1994,WV,West Virginia,stem ma,5
1994,WV,West Virginia,elem phd,0
1994,WV,West Virginia,other phd,47
1994,WV,West Virginia,sped phd,0
1994,WV,West Virginia,stem phd,0
1994,WV,West Virginia,agg total,214174
1994,WV,West Virginia,ba total,1328
1994,WV,West Virginia,elem total,674
1994,WV,West Virginia,ma total,779
1994,WV,West Virginia,other total,1234
1994,WV,West Virginia,phd total,47
1994,WV,West Virginia,sped total,239
1994,WV,West Virginia,state total,2154
1994,WV,West Virginia,stem total,7
1994,WY,Wyoming,elem ba,242
1994,WY,Wyoming,other ba,154
1994,WY,Wyoming,sped ba,28
1994,WY,Wyoming,stem ba,65
1994,WY,Wyoming,elem ma,0
1994,WY,Wyoming,other ma,70
1994,WY,Wyoming,sped ma,4
1994,WY,Wyoming,stem ma,3
1994,WY,Wyoming,elem phd,0
1994,WY,Wyoming,other phd,22
1994,WY,Wyoming,sped phd,0
1994,WY,Wyoming,stem phd,0
1994,WY,Wyoming,agg total,214174
1994,WY,Wyoming,ba total,489
1994,WY,Wyoming,elem total,242
1994,WY,Wyoming,ma total,77
1994,WY,Wyoming,other total,246
1994,WY,Wyoming,phd total,22
1994,WY,Wyoming,sped total,32
1994,WY,Wyoming,state total,588
1994,WY,Wyoming,stem total,68
1995,AK,Alaska,elem ba,168
1995,AK,Alaska,other ba,131
1995,AK,Alaska,sped ba,0
1995,AK,Alaska,stem ba,2
1995,AK,Alaska,elem ma,28
1995,AK,Alaska,other ma,116
1995,AK,Alaska,sped ma,14
1995,AK,Alaska,stem ma,2
1995,AK,Alaska,elem phd,0
1995,AK,Alaska,other phd,0
1995,AK,Alaska,sped phd,0
1995,AK,Alaska,stem phd,0
1995,AK,Alaska,agg total,215103
1995,AK,Alaska,ba total,301
1995,AK,Alaska,elem total,196
1995,AK,Alaska,ma total,160
1995,AK,Alaska,other total,247
1995,AK,Alaska,phd total,0
1995,AK,Alaska,sped total,14
1995,AK,Alaska,state total,461
1995,AK,Alaska,stem total,4
1995,AL,Alabama,elem ba,1573
1995,AL,Alabama,other ba,1171
1995,AL,Alabama,sped ba,273
1995,AL,Alabama,stem ba,113
1995,AL,Alabama,elem ma,865
1995,AL,Alabama,other ma,1143
1995,AL,Alabama,sped ma,235
1995,AL,Alabama,stem ma,80
1995,AL,Alabama,elem phd,10
1995,AL,Alabama,other phd,73
1995,AL,Alabama,sped phd,7
1995,AL,Alabama,stem phd,8
1995,AL,Alabama,agg total,215103
1995,AL,Alabama,ba total,3130
1995,AL,Alabama,elem total,2448
1995,AL,Alabama,ma total,2323
1995,AL,Alabama,other total,2387
1995,AL,Alabama,phd total,98
1995,AL,Alabama,sped total,515
1995,AL,Alabama,state total,5551
1995,AL,Alabama,stem total,201
1995,AR,Arkansas,elem ba,927
1995,AR,Arkansas,other ba,658
1995,AR,Arkansas,sped ba,134
1995,AR,Arkansas,stem ba,58
1995,AR,Arkansas,elem ma,152
1995,AR,Arkansas,other ma,437
1995,AR,Arkansas,sped ma,119
1995,AR,Arkansas,stem ma,56
1995,AR,Arkansas,elem phd,2
1995,AR,Arkansas,other phd,58
1995,AR,Arkansas,sped phd,0
1995,AR,Arkansas,stem phd,4
1995,AR,Arkansas,agg total,215103
1995,AR,Arkansas,ba total,1777
1995,AR,Arkansas,elem total,1081
1995,AR,Arkansas,ma total,764
1995,AR,Arkansas,other total,1153
1995,AR,Arkansas,phd total,64
1995,AR,Arkansas,sped total,253
1995,AR,Arkansas,state total,2605
1995,AR,Arkansas,stem total,118
1995,AZ,Arizona,elem ba,1190
1995,AZ,Arizona,other ba,506
1995,AZ,Arizona,sped ba,259
1995,AZ,Arizona,stem ba,77
1995,AZ,Arizona,elem ma,529
1995,AZ,Arizona,other ma,1108
1995,AZ,Arizona,sped ma,139
1995,AZ,Arizona,stem ma,68
1995,AZ,Arizona,elem phd,3
1995,AZ,Arizona,other phd,164
1995,AZ,Arizona,sped phd,4
1995,AZ,Arizona,stem phd,6
1995,AZ,Arizona,agg total,215103
1995,AZ,Arizona,ba total,2032
1995,AZ,Arizona,elem total,1722
1995,AZ,Arizona,ma total,1844
1995,AZ,Arizona,other total,1778
1995,AZ,Arizona,phd total,177
1995,AZ,Arizona,sped total,402
1995,AZ,Arizona,state total,4053
1995,AZ,Arizona,stem total,151
1995,CA, California,elem ba,1329
1995,CA, California,other ba,1836
1995,CA, California,sped ba,0
1995,CA, California,stem ba,211
1995,CA, California,elem ma,143
1995,CA, California,other ma,6353
1995,CA, California,sped ma,403
1995,CA, California,stem ma,111
1995,CA, California,elem phd,0
1995,CA, California,other phd,600
1995,CA, California,sped phd,13
1995,CA, California,stem phd,1
1995,CA, California,agg total,215103
1995,CA, California,ba total,3376
1995,CA, California,elem total,1472
1995,CA, California,ma total,7010
1995,CA, California,other total,8789
1995,CA, California,phd total,614
1995,CA, California,sped total,416
1995,CA, California,state total,11000
1995,CA, California,stem total,323
1995,CO,Colorado,elem ba,35
1995,CO,Colorado,other ba,26
1995,CO,Colorado,sped ba,0
1995,CO,Colorado,stem ba,1
1995,CO,Colorado,elem ma,101
1995,CO,Colorado,other ma,880
1995,CO,Colorado,sped ma,231
1995,CO,Colorado,stem ma,61
1995,CO,Colorado,elem phd,7
1995,CO,Colorado,other phd,83
1995,CO,Colorado,sped phd,5
1995,CO,Colorado,stem phd,3
1995,CO,Colorado,agg total,215103
1995,CO,Colorado,ba total,62
1995,CO,Colorado,elem total,143
1995,CO,Colorado,ma total,1273
1995,CO,Colorado,other total,989
1995,CO,Colorado,phd total,98
1995,CO,Colorado,sped total,236
1995,CO,Colorado,state total,1433
1995,CO,Colorado,stem total,65
1995,CT,Connecticut,elem ba,180
1995,CT,Connecticut,other ba,220
1995,CT,Connecticut,sped ba,128
1995,CT,Connecticut,stem ba,15
1995,CT,Connecticut,elem ma,259
1995,CT,Connecticut,other ma,958
1995,CT,Connecticut,sped ma,187
1995,CT,Connecticut,stem ma,149
1995,CT,Connecticut,elem phd,0
1995,CT,Connecticut,other phd,48
1995,CT,Connecticut,sped phd,13
1995,CT,Connecticut,stem phd,1
1995,CT,Connecticut,agg total,215103
1995,CT,Connecticut,ba total,543
1995,CT,Connecticut,elem total,439
1995,CT,Connecticut,ma total,1553
1995,CT,Connecticut,other total,1226
1995,CT,Connecticut,phd total,62
1995,CT,Connecticut,sped total,328
1995,CT,Connecticut,state total,2158
1995,CT,Connecticut,stem total,165
1995,DE,Delaware,elem ba,336
1995,DE,Delaware,other ba,231
1995,DE,Delaware,sped ba,9
1995,DE,Delaware,stem ba,41
1995,DE,Delaware,elem ma,63
1995,DE,Delaware,other ma,194
1995,DE,Delaware,sped ma,5
1995,DE,Delaware,stem ma,1
1995,DE,Delaware,elem phd,0
1995,DE,Delaware,other phd,48
1995,DE,Delaware,sped phd,0
1995,DE,Delaware,stem phd,0
1995,DE,Delaware,agg total,215103
1995,DE,Delaware,ba total,617
1995,DE,Delaware,elem total,399
1995,DE,Delaware,ma total,263
1995,DE,Delaware,other total,473
1995,DE,Delaware,phd total,48
1995,DE,Delaware,sped total,14
1995,DE,Delaware,state total,928
1995,DE,Delaware,stem total,42
1995,FL,Florida,elem ba,2818
1995,FL,Florida,other ba,1418
1995,FL,Florida,sped ba,869
1995,FL,Florida,stem ba,289
1995,FL,Florida,elem ma,716
1995,FL,Florida,other ma,1859
1995,FL,Florida,sped ma,435
1995,FL,Florida,stem ma,330
1995,FL,Florida,elem phd,3
1995,FL,Florida,other phd,462
1995,FL,Florida,sped phd,12
1995,FL,Florida,stem phd,17
1995,FL,Florida,agg total,215103
1995,FL,Florida,ba total,5394
1995,FL,Florida,elem total,3537
1995,FL,Florida,ma total,3340
1995,FL,Florida,other total,3739
1995,FL,Florida,phd total,494
1995,FL,Florida,sped total,1316
1995,FL,Florida,state total,9228
1995,FL,Florida,stem total,636
1995,GA,Georgia,elem ba,1621
1995,GA,Georgia,other ba,1831
1995,GA,Georgia,sped ba,268
1995,GA,Georgia,stem ba,190
1995,GA,Georgia,elem ma,685
1995,GA,Georgia,other ma,1509
1995,GA,Georgia,sped ma,342
1995,GA,Georgia,stem ma,278
1995,GA,Georgia,elem phd,1
1995,GA,Georgia,other phd,113
1995,GA,Georgia,sped phd,6
1995,GA,Georgia,stem phd,38
1995,GA,Georgia,agg total,215103
1995,GA,Georgia,ba total,3910
1995,GA,Georgia,elem total,2307
1995,GA,Georgia,ma total,2814
1995,GA,Georgia,other total,3453
1995,GA,Georgia,phd total,158
1995,GA,Georgia,sped total,616
1995,GA,Georgia,state total,6882
1995,GA,Georgia,stem total,506
1995,HI,Hawaii,elem ba,122
1995,HI,Hawaii,other ba,148
1995,HI,Hawaii,sped ba,0
1995,HI,Hawaii,stem ba,52
1995,HI,Hawaii,elem ma,27
1995,HI,Hawaii,other ma,127
1995,HI,Hawaii,sped ma,20
1995,HI,Hawaii,stem ma,5
1995,HI,Hawaii,elem phd,0
1995,HI,Hawaii,other phd,9
1995,HI,Hawaii,sped phd,0
1995,HI,Hawaii,stem phd,0
1995,HI,Hawaii,agg total,215103
1995,HI,Hawaii,ba total,322
1995,HI,Hawaii,elem total,149
1995,HI,Hawaii,ma total,179
1995,HI,Hawaii,other total,284
1995,HI,Hawaii,phd total,9
1995,HI,Hawaii,sped total,20
1995,HI,Hawaii,state total,510
1995,HI,Hawaii,stem total,57
1995,IA,Iowa,elem ba,1543
1995,IA,Iowa,other ba,551
1995,IA,Iowa,sped ba,82
1995,IA,Iowa,stem ba,94
1995,IA,Iowa,elem ma,61
1995,IA,Iowa,other ma,523
1995,IA,Iowa,sped ma,165
1995,IA,Iowa,stem ma,139
1995,IA,Iowa,elem phd,2
1995,IA,Iowa,other phd,92
1995,IA,Iowa,sped phd,3
1995,IA,Iowa,stem phd,32
1995,IA,Iowa,agg total,215103
1995,IA,Iowa,ba total,2270
1995,IA,Iowa,elem total,1606
1995,IA,Iowa,ma total,888
1995,IA,Iowa,other total,1166
1995,IA,Iowa,phd total,129
1995,IA,Iowa,sped total,250
1995,IA,Iowa,state total,3287
1995,IA,Iowa,stem total,265
1995,ID,Idaho,elem ba,452
1995,ID,Idaho,other ba,331
1995,ID,Idaho,sped ba,12
1995,ID,Idaho,stem ba,31
1995,ID,Idaho,elem ma,24
1995,ID,Idaho,other ma,299
1995,ID,Idaho,sped ma,36
1995,ID,Idaho,stem ma,59
1995,ID,Idaho,elem phd,0
1995,ID,Idaho,other phd,20
1995,ID,Idaho,sped phd,0
1995,ID,Idaho,stem phd,0
1995,ID,Idaho,agg total,215103
1995,ID,Idaho,ba total,826
1995,ID,Idaho,elem total,476
1995,ID,Idaho,ma total,418
1995,ID,Idaho,other total,650
1995,ID,Idaho,phd total,20
1995,ID,Idaho,sped total,48
1995,ID,Idaho,state total,1264
1995,ID,Idaho,stem total,90
