,year,state_short,state_long,indicator,value
10389,1993,SD,South Dakota,State Total,1060
10390,1993,SD,South Dakota,STEM Total,31
10404,1993,TN,Tennessee,Bachelor Total,2442
10405,1993,TN,Tennessee,Elementary Total,1724
10406,1993,TN,Tennessee,Masters Total,1737
10407,1993,TN,Tennessee,Other Total,2173
10408,1993,TN,Tennessee,PhD Total,232
10409,1993,TN,Tennessee,SPED Total,333
10410,1993,TN,Tennessee,State Total,4411
10411,1993,TN,Tennessee,STEM Total,181
10425,1993,TX,Texas,Bachelor Total,2329
10426,1993,TX,Texas,Elementary Total,1607
10427,1993,TX,Texas,Masters Total,4514
10428,1993,TX,Texas,Other Total,4802
10429,1993,TX,Texas,PhD Total,431
10430,1993,TX,Texas,SPED Total,464
10431,1993,TX,Texas,State Total,7274
10432,1993,TX,Texas,STEM Total,401
10446,1993,UT,Utah,Bachelor Total,1698
10447,1993,UT,Utah,Elementary Total,995
10448,1993,UT,Utah,Masters Total,488
10449,1993,UT,Utah,Other Total,875
10450,1993,UT,Utah,PhD Total,40
10451,1993,UT,Utah,SPED Total,239
10452,1993,UT,Utah,State Total,2226
10453,1993,UT,Utah,STEM Total,117
10467,1993,VA,Virginia,Bachelor Total,1118
10468,1993,VA,Virginia,Elementary Total,639
10469,1993,VA,Virginia,Masters Total,2436
10470,1993,VA,Virginia,Other Total,2713
10471,1993,VA,Virginia,PhD Total,196
10472,1993,VA,Virginia,SPED Total,298
10473,1993,VA,Virginia,State Total,3750
10474,1993,VA,Virginia,STEM Total,100
10488,1993,VT,Vermont,Bachelor Total,418
10489,1993,VT,Vermont,Elementary Total,196
10490,1993,VT,Vermont,Masters Total,460
10491,1993,VT,Vermont,Other Total,569
10492,1993,VT,Vermont,PhD Total,6
10493,1993,VT,Vermont,SPED Total,101
10494,1993,VT,Vermont,State Total,884
10495,1993,VT,Vermont,STEM Total,18
10509,1993,WA,Washington,Bachelor Total,1567
10510,1993,WA,Washington,Elementary Total,597
10511,1993,WA,Washington,Masters Total,2487
10512,1993,WA,Washington,Other Total,3130
10513,1993,WA,Washington,PhD Total,98
10514,1993,WA,Washington,SPED Total,235
10515,1993,WA,Washington,State Total,4152
10516,1993,WA,Washington,STEM Total,190
10530,1993,WI,Wisconsin,Bachelor Total,2665
10531,1993,WI,Wisconsin,Elementary Total,1424
10532,1993,WI,Wisconsin,Masters Total,1926
10533,1993,WI,Wisconsin,Other Total,2670
10534,1993,WI,Wisconsin,PhD Total,101
10535,1993,WI,Wisconsin,SPED Total,436
10536,1993,WI,Wisconsin,State Total,4692
10537,1993,WI,Wisconsin,STEM Total,162
10551,1993,WV,West Virginia,Bachelor Total,1266
10552,1993,WV,West Virginia,Elementary Total,650
10553,1993,WV,West Virginia,Masters Total,767
10554,1993,WV,West Virginia,Other Total,1190
10555,1993,WV,West Virginia,PhD Total,45
10556,1993,WV,West Virginia,SPED Total,228
10557,1993,WV,West Virginia,State Total,2078
10558,1993,WV,West Virginia,STEM Total,10
10572,1993,WY,Wyoming,Bachelor Total,528
10573,1993,WY,Wyoming,Elementary Total,210
10574,1993,WY,Wyoming,Masters Total,75
10575,1993,WY,Wyoming,Other Total,285
10576,1993,WY,Wyoming,PhD Total,11
10577,1993,WY,Wyoming,SPED Total,38
10578,1993,WY,Wyoming,State Total,614
10579,1993,WY,Wyoming,STEM Total,81
10593,1994,AK,Alaska,Bachelor Total,276
10594,1994,AK,Alaska,Elementary Total,159
10595,1994,AK,Alaska,Masters Total,120
10596,1994,AK,Alaska,Other Total,224
10597,1994,AK,Alaska,PhD Total,0
10598,1994,AK,Alaska,SPED Total,13
10599,1994,AK,Alaska,State Total,396
10600,1994,AK,Alaska,STEM Total,0
10614,1994,AL,Alabama,Bachelor Total,3395
10615,1994,AL,Alabama,Elementary Total,2595
10616,1994,AL,Alabama,Masters Total,2150
10617,1994,AL,Alabama,Other Total,2251
10618,1994,AL,Alabama,PhD Total,105
10619,1994,AL,Alabama,SPED Total,605
10620,1994,AL,Alabama,State Total,5650
10621,1994,AL,Alabama,STEM Total,199
10635,1994,AR,Arkansas,Bachelor Total,1750
10636,1994,AR,Arkansas,Elementary Total,1068
10637,1994,AR,Arkansas,Masters Total,754
10638,1994,AR,Arkansas,Other Total,1150
10639,1994,AR,Arkansas,PhD Total,53
10640,1994,AR,Arkansas,SPED Total,203
10641,1994,AR,Arkansas,State Total,2557
10642,1994,AR,Arkansas,STEM Total,136
10656,1994,AZ,Arizona,Bachelor Total,1855
10657,1994,AZ,Arizona,Elementary Total,1559
10658,1994,AZ,Arizona,Masters Total,1819
10659,1994,AZ,Arizona,Other Total,1718
10660,1994,AZ,Arizona,PhD Total,144
10661,1994,AZ,Arizona,SPED Total,391
10662,1994,AZ,Arizona,State Total,3818
10663,1994,AZ,Arizona,STEM Total,150
10677,1994,CA, California,Bachelor Total,3255
10678,1994,CA, California,Elementary Total,1494
10679,1994,CA, California,Masters Total,7017
10680,1994,CA, California,Other Total,8647
10681,1994,CA, California,PhD Total,582
10682,1994,CA, California,SPED Total,365
10683,1994,CA, California,State Total,10854
10684,1994,CA, California,STEM Total,348
10698,1994,CO,Colorado,Bachelor Total,48
10699,1994,CO,Colorado,Elementary Total,198
10700,1994,CO,Colorado,Masters Total,1327
10701,1994,CO,Colorado,Other Total,939
10702,1994,CO,Colorado,PhD Total,93
10703,1994,CO,Colorado,SPED Total,253
10704,1994,CO,Colorado,State Total,1468
10705,1994,CO,Colorado,STEM Total,78
10719,1994,CT,Connecticut,Bachelor Total,540
10720,1994,CT,Connecticut,Elementary Total,313
10721,1994,CT,Connecticut,Masters Total,1530
10722,1994,CT,Connecticut,Other Total,1369
10723,1994,CT,Connecticut,PhD Total,40
10724,1994,CT,Connecticut,SPED Total,333
10725,1994,CT,Connecticut,State Total,2110
10726,1994,CT,Connecticut,STEM Total,95
10740,1994,DE,Delaware,Bachelor Total,549
10741,1994,DE,Delaware,Elementary Total,348
10742,1994,DE,Delaware,Masters Total,266
10743,1994,DE,Delaware,Other Total,436
10744,1994,DE,Delaware,PhD Total,13
10745,1994,DE,Delaware,SPED Total,16
10746,1994,DE,Delaware,State Total,828
10747,1994,DE,Delaware,STEM Total,28
10761,1994,FL,Florida,Bachelor Total,5409
10762,1994,FL,Florida,Elementary Total,3493
10763,1994,FL,Florida,Masters Total,3143
10764,1994,FL,Florida,Other Total,3703
10765,1994,FL,Florida,PhD Total,517
10766,1994,FL,Florida,SPED Total,1260
10767,1994,FL,Florida,State Total,9069
10768,1994,FL,Florida,STEM Total,613
10782,1994,GA,Georgia,Bachelor Total,3774
10783,1994,GA,Georgia,Elementary Total,2233
10784,1994,GA,Georgia,Masters Total,2750
10785,1994,GA,Georgia,Other Total,3325
10786,1994,GA,Georgia,PhD Total,176
10787,1994,GA,Georgia,SPED Total,661
10788,1994,GA,Georgia,State Total,6700
10789,1994,GA,Georgia,STEM Total,481
10803,1994,HI,Hawaii,Bachelor Total,268
10804,1994,HI,Hawaii,Elementary Total,130
10805,1994,HI,Hawaii,Masters Total,159
10806,1994,HI,Hawaii,Other Total,240
10807,1994,HI,Hawaii,PhD Total,12
10808,1994,HI,Hawaii,SPED Total,15
10809,1994,HI,Hawaii,State Total,439
10810,1994,HI,Hawaii,STEM Total,54
10824,1994,IA,Iowa,Bachelor Total,2298
10825,1994,IA,Iowa,Elementary Total,1616
10826,1994,IA,Iowa,Masters Total,813
10827,1994,IA,Iowa,Other Total,1197
10828,1994,IA,Iowa,PhD Total,135
10829,1994,IA,Iowa,SPED Total,184
10830,1994,IA,Iowa,State Total,3246
10831,1994,IA,Iowa,STEM Total,249
10845,1994,ID,Idaho,Bachelor Total,750
10846,1994,ID,Idaho,Elementary Total,474
10847,1994,ID,Idaho,Masters Total,490
10848,1994,ID,Idaho,Other Total,646
10849,1994,ID,Idaho,PhD Total,20
10850,1994,ID,Idaho,SPED Total,61
10851,1994,ID,Idaho,State Total,1260
10852,1994,ID,Idaho,STEM Total,79
10866,1994,IL,Illinois,Bachelor Total,5313
10867,1994,IL,Illinois,Elementary Total,3418
10868,1994,IL,Illinois,Masters Total,5655
10869,1994,IL,Illinois,Other Total,5781
10870,1994,IL,Illinois,PhD Total,317
10871,1994,IL,Illinois,SPED Total,1052
10872,1994,IL,Illinois,State Total,11285
10873,1994,IL,Illinois,STEM Total,1034
10887,1994,IN,Indiana,Bachelor Total,3762
10888,1994,IN,Indiana,Elementary Total,2376
10889,1994,IN,Indiana,Masters Total,1448
10890,1994,IN,Indiana,Other Total,2385
10891,1994,IN,Indiana,PhD Total,152
10892,1994,IN,Indiana,SPED Total,283
10893,1994,IN,Indiana,State Total,5362
10894,1994,IN,Indiana,STEM Total,318
10908,1994,KS,Kansas,Bachelor Total,2037
10909,1994,KS,Kansas,Elementary Total,1338
10910,1994,KS,Kansas,Masters Total,1195
10911,1994,KS,Kansas,Other Total,1707
10912,1994,KS,Kansas,PhD Total,97
10913,1994,KS,Kansas,SPED Total,191
10914,1994,KS,Kansas,State Total,3329
10915,1994,KS,Kansas,STEM Total,93
10929,1994,KY,Kentucky,Bachelor Total,2342
10930,1994,KY,Kentucky,Elementary Total,1824
10931,1994,KY,Kentucky,Masters Total,1653
10932,1994,KY,Kentucky,Other Total,1804
10933,1994,KY,Kentucky,PhD Total,51
10934,1994,KY,Kentucky,SPED Total,286
10935,1994,KY,Kentucky,State Total,4046
10936,1994,KY,Kentucky,STEM Total,132
10950,1994,LA,Louisiana,Bachelor Total,2345
10951,1994,LA,Louisiana,Elementary Total,1497
10952,1994,LA,Louisiana,Masters Total,1306
10953,1994,LA,Louisiana,Other Total,1801
10954,1994,LA,Louisiana,PhD Total,59
10955,1994,LA,Louisiana,SPED Total,225
10956,1994,LA,Louisiana,State Total,3710
10957,1994,LA,Louisiana,STEM Total,187
10971,1994,MA,Massachusetts,Bachelor Total,2676
10972,1994,MA,Massachusetts,Elementary Total,2010
10973,1994,MA,Massachusetts,Masters Total,5535
10974,1994,MA,Massachusetts,Other Total,5177
10975,1994,MA,Massachusetts,PhD Total,285
10976,1994,MA,Massachusetts,SPED Total,876
10977,1994,MA,Massachusetts,State Total,8496
10978,1994,MA,Massachusetts,STEM Total,433
10992,1994,MD,Maryland,Bachelor Total,1652
10993,1994,MD,Maryland,Elementary Total,1172
10994,1994,MD,Maryland,Masters Total,1486
10995,1994,MD,Maryland,Other Total,1654
10996,1994,MD,Maryland,PhD Total,119
10997,1994,MD,Maryland,SPED Total,323
10998,1994,MD,Maryland,State Total,3257
10999,1994,MD,Maryland,STEM Total,108
11013,1994,ME,Maine,Bachelor Total,659
11014,1994,ME,Maine,Elementary Total,377
11015,1994,ME,Maine,Masters Total,329
11016,1994,ME,Maine,Other Total,513
11017,1994,ME,Maine,PhD Total,4
11018,1994,ME,Maine,SPED Total,83
11019,1994,ME,Maine,State Total,992
11020,1994,ME,Maine,STEM Total,19
11034,1994,MI,Michigan,Bachelor Total,3604
11035,1994,MI,Michigan,Elementary Total,2007
11036,1994,MI,Michigan,Masters Total,3297
11037,1994,MI,Michigan,Other Total,3678
11038,1994,MI,Michigan,PhD Total,213
11039,1994,MI,Michigan,SPED Total,758
11040,1994,MI,Michigan,State Total,7114
11041,1994,MI,Michigan,STEM Total,671
11055,1994,MN,Minnesota,Bachelor Total,2875
11056,1994,MN,Minnesota,Elementary Total,1900
11057,1994,MN,Minnesota,Masters Total,1743
11058,1994,MN,Minnesota,Other Total,2198
11059,1994,MN,Minnesota,PhD Total,94
11060,1994,MN,Minnesota,SPED Total,326
11061,1994,MN,Minnesota,State Total,4712
11062,1994,MN,Minnesota,STEM Total,288
11076,1994,MO,Missouri,Bachelor Total,3028
11077,1994,MO,Missouri,Elementary Total,1850
11078,1994,MO,Missouri,Masters Total,1958
11079,1994,MO,Missouri,Other Total,2796
11080,1994,MO,Missouri,PhD Total,145
11081,1994,MO,Missouri,SPED Total,338
11082,1994,MO,Missouri,State Total,5131
11083,1994,MO,Missouri,STEM Total,147
11097,1994,MS,Mississippi,Bachelor Total,1579
11098,1994,MS,Mississippi,Elementary Total,1027
11099,1994,MS,Mississippi,Masters Total,890
11100,1994,MS,Mississippi,Other Total,1173
11101,1994,MS,Mississippi,PhD Total,116
11102,1994,MS,Mississippi,SPED Total,221
11103,1994,MS,Mississippi,State Total,2585
11104,1994,MS,Mississippi,STEM Total,164
11118,1994,MT,Montana,Bachelor Total,717
11119,1994,MT,Montana,Elementary Total,406
11120,1994,MT,Montana,Masters Total,243
11121,1994,MT,Montana,Other Total,497
11122,1994,MT,Montana,PhD Total,18
11123,1994,MT,Montana,SPED Total,39
11124,1994,MT,Montana,State Total,978
11125,1994,MT,Montana,STEM Total,36
11126,1994,NAT,National Total,Bachelor Total,107334
11127,1994,NAT,National Total,Elementary Total,70133
11128,1994,NAT,National Total,Masters Total,96907
11129,1994,NAT,National Total,Other Total,109791
11130,1994,NAT,National Total,PhD Total,6462
11131,1994,NAT,National Total,SPED Total,19676
11132,1994,NAT,National Total,State Total,210703
11133,1994,NAT,National Total,STEM Total,11103
11147,1994,NC,North Carolina,Bachelor Total,3212
11148,1994,NC,North Carolina,Elementary Total,1663
11149,1994,NC,North Carolina,Masters Total,1611
11150,1994,NC,North Carolina,Other Total,2266
11151,1994,NC,North Carolina,PhD Total,135
11152,1994,NC,North Carolina,SPED Total,430
11153,1994,NC,North Carolina,State Total,4958
11154,1994,NC,North Carolina,STEM Total,599
11168,1994,ND,North Dakota,Bachelor Total,686
11169,1994,ND,North Dakota,Elementary Total,351
11170,1994,ND,North Dakota,Masters Total,222
11171,1994,ND,North Dakota,Other Total,428
11172,1994,ND,North Dakota,PhD Total,19
11173,1994,ND,North Dakota,SPED Total,98
11174,1994,ND,North Dakota,State Total,927
11175,1994,ND,North Dakota,STEM Total,50
11189,1994,NE,Nebraska,Bachelor Total,1465
11190,1994,NE,Nebraska,Elementary Total,903
11191,1994,NE,Nebraska,Masters Total,831
11192,1994,NE,Nebraska,Other Total,1179
11193,1994,NE,Nebraska,PhD Total,55
11194,1994,NE,Nebraska,SPED Total,175
11195,1994,NE,Nebraska,State Total,2351
11196,1994,NE,Nebraska,STEM Total,94
11210,1994,NH,New Hampshire,Bachelor Total,623
11211,1994,NH,New Hampshire,Elementary Total,413
11212,1994,NH,New Hampshire,Masters Total,600
11213,1994,NH,New Hampshire,Other Total,692
11214,1994,NH,New Hampshire,PhD Total,6
11215,1994,NH,New Hampshire,SPED Total,99
11216,1994,NH,New Hampshire,State Total,1229
11217,1994,NH,New Hampshire,STEM Total,25
11231,1994,NJ,New Jersey,Bachelor Total,1966
11232,1994,NJ,New Jersey,Elementary Total,1300
11233,1994,NJ,New Jersey,Masters Total,2131
11234,1994,NJ,New Jersey,Other Total,2102
11235,1994,NJ,New Jersey,PhD Total,60
11236,1994,NJ,New Jersey,SPED Total,550
11237,1994,NJ,New Jersey,State Total,4157
11238,1994,NJ,New Jersey,STEM Total,205
11252,1994,NM,New Mexico,Bachelor Total,1022
11253,1994,NM,New Mexico,Elementary Total,656
11254,1994,NM,New Mexico,Masters Total,818
11255,1994,NM,New Mexico,Other Total,904
11256,1994,NM,New Mexico,PhD Total,73
11257,1994,NM,New Mexico,SPED Total,283
11258,1994,NM,New Mexico,State Total,1913
11259,1994,NM,New Mexico,STEM Total,70
11273,1994,NV,Nevada,Bachelor Total,417
11274,1994,NV,Nevada,Elementary Total,226
11275,1994,NV,Nevada,Masters Total,324
11276,1994,NV,Nevada,Other Total,430
11277,1994,NV,Nevada,PhD Total,18
11278,1994,NV,Nevada,SPED Total,96
11279,1994,NV,Nevada,State Total,759
11280,1994,NV,Nevada,STEM Total,7
11294,1994,NY,New York,Bachelor Total,6469
11295,1994,NY,New York,Elementary Total,6177
11296,1994,NY,New York,Masters Total,12138
11297,1994,NY,New York,Other Total,8486
11298,1994,NY,New York,PhD Total,387
11299,1994,NY,New York,SPED Total,3135
11300,1994,NY,New York,State Total,18994
11301,1994,NY,New York,STEM Total,1196
11315,1994,OH,Ohio,Bachelor Total,6158
11316,1994,OH,Ohio,Elementary Total,3741
11317,1994,OH,Ohio,Masters Total,4187
11318,1994,OH,Ohio,Other Total,5674
11319,1994,OH,Ohio,PhD Total,348
11320,1994,OH,Ohio,SPED Total,755
11321,1994,OH,Ohio,State Total,10693
11322,1994,OH,Ohio,STEM Total,523
11336,1994,OK,Oklahoma,Bachelor Total,2861
11337,1994,OK,Oklahoma,Elementary Total,1757
11338,1994,OK,Oklahoma,Masters Total,1381
11339,1994,OK,Oklahoma,Other Total,2074
11340,1994,OK,Oklahoma,PhD Total,105
11341,1994,OK,Oklahoma,SPED Total,346
11342,1994,OK,Oklahoma,State Total,4347
11343,1994,OK,Oklahoma,STEM Total,170
11357,1994,OR,Oregon,Bachelor Total,684
11358,1994,OR,Oregon,Elementary Total,480
11359,1994,OR,Oregon,Masters Total,1252
11360,1994,OR,Oregon,Other Total,1294
11361,1994,OR,Oregon,PhD Total,127
11362,1994,OR,Oregon,SPED Total,209
11363,1994,OR,Oregon,State Total,2063
11364,1994,OR,Oregon,STEM Total,80
11378,1994,PA,Pennsylvania,Bachelor Total,7740
11379,1994,PA,Pennsylvania,Elementary Total,5654
11380,1994,PA,Pennsylvania,Masters Total,4102
11381,1994,PA,Pennsylvania,Other Total,4984
11382,1994,PA,Pennsylvania,PhD Total,305
11383,1994,PA,Pennsylvania,SPED Total,1073
11384,1994,PA,Pennsylvania,State Total,12147
11385,1994,PA,Pennsylvania,STEM Total,436
11399,1994,RI,Rhode Island,Bachelor Total,604
11400,1994,RI,Rhode Island,Elementary Total,313
11401,1994,RI,Rhode Island,Masters Total,445
11402,1994,RI,Rhode Island,Other Total,448
11403,1994,RI,Rhode Island,PhD Total,0
11404,1994,RI,Rhode Island,SPED Total,229
11405,1994,RI,Rhode Island,State Total,1049
11406,1994,RI,Rhode Island,STEM Total,59
11420,1994,SC,South Carolina,Bachelor Total,2107
11421,1994,SC,South Carolina,Elementary Total,1766
11422,1994,SC,South Carolina,Masters Total,1515
11423,1994,SC,South Carolina,Other Total,1516
11424,1994,SC,South Carolina,PhD Total,144
11425,1994,SC,South Carolina,SPED Total,336
11426,1994,SC,South Carolina,State Total,3766
11427,1994,SC,South Carolina,STEM Total,148
11441,1994,SD,South Dakota,Bachelor Total,619
11442,1994,SD,South Dakota,Elementary Total,382
11443,1994,SD,South Dakota,Masters Total,314
11444,1994,SD,South Dakota,Other Total,437
11445,1994,SD,South Dakota,PhD Total,30
11446,1994,SD,South Dakota,SPED Total,100
11447,1994,SD,South Dakota,State Total,963
11448,1994,SD,South Dakota,STEM Total,44
11462,1994,TN,Tennessee,Bachelor Total,1961
11463,1994,TN,Tennessee,Elementary Total,1209
11464,1994,TN,Tennessee,Masters Total,2163
11465,1994,TN,Tennessee,Other Total,2518
11466,1994,TN,Tennessee,PhD Total,177
11467,1994,TN,Tennessee,SPED Total,343
11468,1994,TN,Tennessee,State Total,4301
11469,1994,TN,Tennessee,STEM Total,231
11483,1994,TX,Texas,Bachelor Total,2563
11484,1994,TX,Texas,Elementary Total,1484
11485,1994,TX,Texas,Masters Total,4555
11486,1994,TX,Texas,Other Total,5246
11487,1994,TX,Texas,PhD Total,411
11488,1994,TX,Texas,SPED Total,464
11489,1994,TX,Texas,State Total,7529
11490,1994,TX,Texas,STEM Total,335
11504,1994,UT,Utah,Bachelor Total,1886
11505,1994,UT,Utah,Elementary Total,1087
11506,1994,UT,Utah,Masters Total,496
11507,1994,UT,Utah,Other Total,986
11508,1994,UT,Utah,PhD Total,44
11509,1994,UT,Utah,SPED Total,242
11510,1994,UT,Utah,State Total,2426
11511,1994,UT,Utah,STEM Total,111
11525,1994,VA,Virginia,Bachelor Total,937
11526,1994,VA,Virginia,Elementary Total,590
11527,1994,VA,Virginia,Masters Total,2743
11528,1994,VA,Virginia,Other Total,2840
11529,1994,VA,Virginia,PhD Total,176
11530,1994,VA,Virginia,SPED Total,298
11531,1994,VA,Virginia,State Total,3856
11532,1994,VA,Virginia,STEM Total,128
11546,1994,VT,Vermont,Bachelor Total,427
11547,1994,VT,Vermont,Elementary Total,207
11548,1994,VT,Vermont,Masters Total,445
11549,1994,VT,Vermont,Other Total,555
11550,1994,VT,Vermont,PhD Total,12
11551,1994,VT,Vermont,SPED Total,100
11552,1994,VT,Vermont,State Total,884
11553,1994,VT,Vermont,STEM Total,22
11567,1994,WA,Washington,Bachelor Total,1519
11568,1994,WA,Washington,Elementary Total,480
11569,1994,WA,Washington,Masters Total,2832
11570,1994,WA,Washington,Other Total,3591
11571,1994,WA,Washington,PhD Total,92
11572,1994,WA,Washington,SPED Total,190
11573,1994,WA,Washington,State Total,4443
11574,1994,WA,Washington,STEM Total,182
11588,1994,WI,Wisconsin,Bachelor Total,2835
11589,1994,WI,Wisconsin,Elementary Total,1496
11590,1994,WI,Wisconsin,Masters Total,1870
11591,1994,WI,Wisconsin,Other Total,2652
11592,1994,WI,Wisconsin,PhD Total,109
11593,1994,WI,Wisconsin,SPED Total,493
11594,1994,WI,Wisconsin,State Total,4814
11595,1994,WI,Wisconsin,STEM Total,173
11609,1994,WV,West Virginia,Bachelor Total,1328
11610,1994,WV,West Virginia,Elementary Total,674
11611,1994,WV,West Virginia,Masters Total,779
11612,1994,WV,West Virginia,Other Total,1234
11613,1994,WV,West Virginia,PhD Total,47
11614,1994,WV,West Virginia,SPED Total,239
11615,1994,WV,West Virginia,State Total,2154
11616,1994,WV,West Virginia,STEM Total,7
11630,1994,WY,Wyoming,Bachelor Total,489
11631,1994,WY,Wyoming,Elementary Total,242
11632,1994,WY,Wyoming,Masters Total,77
11633,1994,WY,Wyoming,Other Total,246
11634,1994,WY,Wyoming,PhD Total,22
11635,1994,WY,Wyoming,SPED Total,32
11636,1994,WY,Wyoming,State Total,588
11637,1994,WY,Wyoming,STEM Total,68
11651,1995,AK,Alaska,Bachelor Total,301
11652,1995,AK,Alaska,Elementary Total,196
11653,1995,AK,Alaska,Masters Total,160
11654,1995,AK,Alaska,Other Total,247
11655,1995,AK,Alaska,PhD Total,0
11656,1995,AK,Alaska,SPED Total,14
11657,1995,AK,Alaska,State Total,461
11658,1995,AK,Alaska,STEM Total,4
11672,1995,AL,Alabama,Bachelor Total,3130
11673,1995,AL,Alabama,Elementary Total,2448
11674,1995,AL,Alabama,Masters Total,2323
11675,1995,AL,Alabama,Other Total,2387
11676,1995,AL,Alabama,PhD Total,98
11677,1995,AL,Alabama,SPED Total,515
11678,1995,AL,Alabama,State Total,5551
11679,1995,AL,Alabama,STEM Total,201
11693,1995,AR,Arkansas,Bachelor Total,1777
11694,1995,AR,Arkansas,Elementary Total,1081
11695,1995,AR,Arkansas,Masters Total,764
11696,1995,AR,Arkansas,Other Total,1153
11697,1995,AR,Arkansas,PhD Total,64
11698,1995,AR,Arkansas,SPED Total,253
11699,1995,AR,Arkansas,State Total,2605
11700,1995,AR,Arkansas,STEM Total,118
11714,1995,AZ,Arizona,Bachelor Total,2032
11715,1995,AZ,Arizona,Elementary Total,1722
11716,1995,AZ,Arizona,Masters Total,1844
11717,1995,AZ,Arizona,Other Total,1778
11718,1995,AZ,Arizona,PhD Total,177
11719,1995,AZ,Arizona,SPED Total,402
11720,1995,AZ,Arizona,State Total,4053
11721,1995,AZ,Arizona,STEM Total,151
11735,1995,CA, California,Bachelor Total,3376
11736,1995,CA, California,Elementary Total,1472
11737,1995,CA, California,Masters Total,7010
11738,1995,CA, California,Other Total,8789
11739,1995,CA, California,PhD Total,614
11740,1995,CA, California,SPED Total,416
11741,1995,CA, California,State Total,11000
11742,1995,CA, California,STEM Total,323
11756,1995,CO,Colorado,Bachelor Total,62
11757,1995,CO,Colorado,Elementary Total,143
11758,1995,CO,Colorado,Masters Total,1273
11759,1995,CO,Colorado,Other Total,989
11760,1995,CO,Colorado,PhD Total,98
11761,1995,CO,Colorado,SPED Total,236
11762,1995,CO,Colorado,State Total,1433
11763,1995,CO,Colorado,STEM Total,65
11777,1995,CT,Connecticut,Bachelor Total,543
11778,1995,CT,Connecticut,Elementary Total,439
11779,1995,CT,Connecticut,Masters Total,1553
11780,1995,CT,Connecticut,Other Total,1226
11781,1995,CT,Connecticut,PhD Total,62
11782,1995,CT,Connecticut,SPED Total,328
11783,1995,CT,Connecticut,State Total,2158
11784,1995,CT,Connecticut,STEM Total,165
11798,1995,DE,Delaware,Bachelor Total,617
11799,1995,DE,Delaware,Elementary Total,399
11800,1995,DE,Delaware,Masters Total,263
11801,1995,DE,Delaware,Other Total,473
11802,1995,DE,Delaware,PhD Total,48
11803,1995,DE,Delaware,SPED Total,14
11804,1995,DE,Delaware,State Total,928
11805,1995,DE,Delaware,STEM Total,42
11819,1995,FL,Florida,Bachelor Total,5394
11820,1995,FL,Florida,Elementary Total,3537
11821,1995,FL,Florida,Masters Total,3340
11822,1995,FL,Florida,Other Total,3739
11823,1995,FL,Florida,PhD Total,494
11824,1995,FL,Florida,SPED Total,1316
11825,1995,FL,Florida,State Total,9228
11826,1995,FL,Florida,STEM Total,636
11840,1995,GA,Georgia,Bachelor Total,3910
11841,1995,GA,Georgia,Elementary Total,2307
11842,1995,GA,Georgia,Masters Total,2814
11843,1995,GA,Georgia,Other Total,3453
11844,1995,GA,Georgia,PhD Total,158
11845,1995,GA,Georgia,SPED Total,616
11846,1995,GA,Georgia,State Total,6882
11847,1995,GA,Georgia,STEM Total,506
11861,1995,HI,Hawaii,Bachelor Total,322
11862,1995,HI,Hawaii,Elementary Total,149
11863,1995,HI,Hawaii,Masters Total,179
11864,1995,HI,Hawaii,Other Total,284
11865,1995,HI,Hawaii,PhD Total,9
11866,1995,HI,Hawaii,SPED Total,20
11867,1995,HI,Hawaii,State Total,510
11868,1995,HI,Hawaii,STEM Total,57
11882,1995,IA,Iowa,Bachelor Total,2270
11883,1995,IA,Iowa,Elementary Total,1606
11884,1995,IA,Iowa,Masters Total,888
11885,1995,IA,Iowa,Other Total,1166
11886,1995,IA,Iowa,PhD Total,129
11887,1995,IA,Iowa,SPED Total,250
11888,1995,IA,Iowa,State Total,3287
11889,1995,IA,Iowa,STEM Total,265
11903,1995,ID,Idaho,Bachelor Total,826
11904,1995,ID,Idaho,Elementary Total,476
11905,1995,ID,Idaho,Masters Total,418
11906,1995,ID,Idaho,Other Total,650
11907,1995,ID,Idaho,PhD Total,20
11908,1995,ID,Idaho,SPED Total,48
11909,1995,ID,Idaho,State Total,1264
11910,1995,ID,Idaho,STEM Total,90
11924,1995,IL,Illinois,Bachelor Total,5490
11925,1995,IL,Illinois,Elementary Total,3487
11926,1995,IL,Illinois,Masters Total,5669
11927,1995,IL,Illinois,Other Total,5896
11928,1995,IL,Illinois,PhD Total,376
11929,1995,IL,Illinois,SPED Total,1129
11930,1995,IL,Illinois,State Total,11535
11931,1995,IL,Illinois,STEM Total,1023
11945,1995,IN,Indiana,Bachelor Total,3632
11946,1995,IN,Indiana,Elementary Total,2323
11947,1995,IN,Indiana,Masters Total,1527
11948,1995,IN,Indiana,Other Total,2403
11949,1995,IN,Indiana,PhD Total,159
11950,1995,IN,Indiana,SPED Total,323
11951,1995,IN,Indiana,State Total,5318
11952,1995,IN,Indiana,STEM Total,269
11966,1995,KS,Kansas,Bachelor Total,2053
11967,1995,KS,Kansas,Elementary Total,1348
11968,1995,KS,Kansas,Masters Total,1094
11969,1995,KS,Kansas,Other Total,1641
11970,1995,KS,Kansas,PhD Total,109
11971,1995,KS,Kansas,SPED Total,195
11972,1995,KS,Kansas,State Total,3256
11973,1995,KS,Kansas,STEM Total,72
11987,1995,KY,Kentucky,Bachelor Total,2343
11988,1995,KY,Kentucky,Elementary Total,1758
11989,1995,KY,Kentucky,Masters Total,1764
11990,1995,KY,Kentucky,Other Total,1884
