,year,state_short,state_long,indicator,value
350,1984,KY,Kentucky,Elementary Total,1412
351,1984,KY,Kentucky,Masters Total,1619
352,1984,KY,Kentucky,Other Total,1397
353,1984,KY,Kentucky,PhD Total,30
354,1984,KY,Kentucky,SPED Total,370
355,1984,KY,Kentucky,State Total,3337
356,1984,KY,Kentucky,STEM Total,158
370,1984,LA,Louisiana,Bachelor Total,1752
371,1984,LA,Louisiana,Elementary Total,1186
372,1984,LA,Louisiana,Masters Total,1588
373,1984,LA,Louisiana,Other Total,1766
374,1984,LA,Louisiana,PhD Total,33
375,1984,LA,Louisiana,SPED Total,295
376,1984,LA,Louisiana,State Total,3373
377,1984,LA,Louisiana,STEM Total,126
391,1984,MA,Massachusetts,Bachelor Total,2080
392,1984,MA,Massachusetts,Elementary Total,867
393,1984,MA,Massachusetts,Masters Total,2337
394,1984,MA,Massachusetts,Other Total,2918
395,1984,MA,Massachusetts,PhD Total,298
396,1984,MA,Massachusetts,SPED Total,762
397,1984,MA,Massachusetts,State Total,4715
398,1984,MA,Massachusetts,STEM Total,168
412,1984,MD,Maryland,Bachelor Total,898
413,1984,MD,Maryland,Elementary Total,499
414,1984,MD,Maryland,Masters Total,1007
415,1984,MD,Maryland,Other Total,1097
416,1984,MD,Maryland,PhD Total,127
417,1984,MD,Maryland,SPED Total,266
418,1984,MD,Maryland,State Total,2032
419,1984,MD,Maryland,STEM Total,170
433,1984,ME,Maine,Bachelor Total,543
434,1984,ME,Maine,Elementary Total,147
435,1984,ME,Maine,Masters Total,288
436,1984,ME,Maine,Other Total,571
437,1984,ME,Maine,PhD Total,5
438,1984,ME,Maine,SPED Total,81
439,1984,ME,Maine,State Total,836
440,1984,ME,Maine,STEM Total,37
454,1984,MI,Michigan,Bachelor Total,2732
455,1984,MI,Michigan,Elementary Total,1178
456,1984,MI,Michigan,Masters Total,3304
457,1984,MI,Michigan,Other Total,3817
458,1984,MI,Michigan,PhD Total,417
459,1984,MI,Michigan,SPED Total,1150
460,1984,MI,Michigan,State Total,6453
461,1984,MI,Michigan,STEM Total,308
475,1984,MN,Minnesota,Bachelor Total,2450
476,1984,MN,Minnesota,Elementary Total,1292
477,1984,MN,Minnesota,Masters Total,947
478,1984,MN,Minnesota,Other Total,1636
479,1984,MN,Minnesota,PhD Total,65
480,1984,MN,Minnesota,SPED Total,275
481,1984,MN,Minnesota,State Total,3462
482,1984,MN,Minnesota,STEM Total,259
496,1984,MO,Missouri,Bachelor Total,2910
497,1984,MO,Missouri,Elementary Total,1320
498,1984,MO,Missouri,Masters Total,1854
499,1984,MO,Missouri,Other Total,2922
500,1984,MO,Missouri,PhD Total,184
